STRID,TEXT
5_Process.27,"{подумав} Не менее десятки, @hero! Тысяч, разумеется. Десять тысяч - и можешь пожить до следующей встречи со мной. <smile5>"
4b_Process.4,"{выход}"
2_Sheet.4,"Dialog 1"
1_Process.19,"{ты понимаешь, что Волк тебя сейчас грохнет, а потом всем расскажет, будто ты первый полез}"
5_Sheet.202,"1"
5_Process.124,"{смеётся} Ты как не мужик, @hero. И драться не хочешь, и заплатить не можешь. <smile4>"
4b_Sheet.10,"going_to_wolf_from_rusk"
2_Process.15,"Вернёшь, конечно. Но дело-то не в деньгах. Ты слово дал, братан. А слово пацана - оно крепче гороха. Ты пацан или слизняк?"
1_Process.306,"{мрачно} Сколько тебе заплатил Гувер, чтобы ты за мной шпионил?"
7_Process.31,"{откинувшись на стуле, искоса смотрит на тебя и ухмыляется} Да ты просто мясник, @hero. Пупырь ведь был крайне свирепый парень, если он на кого сердился - без переломов и увечий обходилось редко. Причём, бывало и хуже. А ты, стало быть, и тут себя продемонстрировал с необычной стороны. Молодец. Что же, у нас теперь есть вакансия. И претендента лучше, чем ты, я на эту вакансию не вижу. Назначен ответственным за охрану патронного завода, изволь занимать кабинет. Поздравляю. Надеюсь, суть работы тебе разъяснять не требуется. Трудиться нужно в пять раз лучше, чем твой предшественник, иначе того гляди разделишь его судьбу. {смеётся} <smile2>"
7_Process.20,"{глядит с подозрением} Что так быстро? Уже всё разрулил? <attention>"
5_Process.125,"{подумав} Ладно, пёс с тобой. Больше семи ты не стоишь. Гони бабки и урой отсюда. <attention>"
5_Process.8,"{передёрнуть затвор}"
4_Process.72,"{взять чёрную робу, автомат и патроны}"
3_Process.11,"Я отказываюсь."
2_Sheet.14,"Волк нападает на Кабана"
2_Process.8,"Да не брал я у тебя никаких денег, братан. Отвали."
7_Document.46,"Начальник промзоны Волк рассказал мне, что за последнее время с территории промзоны бесследно скрылись как минимум двое. Метод побега Волку неясен, однако он предполагает что, вероятнее всего, беглецы каким-то образом использовали в своих целях паровоз. Я теперь отвечаю за охрану патронного завода, так что в случае, если побеги не прекратятся, мне придётся как-то отчитываться перед Волком.\n\nНа паровоз забираться ни в коем случае нельзя - охрана сразу бьёт на поражение."
7_Process.43,"Отлично. Что же, надеюсь, вы с Сухарём найдёте общий язык. На месте разберёшься. Поздравляю! {Жмёт руку} <smile1>"
6_Process.59,"{багровеет} Не обсуждать!!! Выполнять!!! Как же вы меня все сегодня #####ли, [censored] [censored]!!! <rage2>"
6_Process.15,"Я же вроде охранник, а не ищейка. <attention>"
5_Sheet.215,"going_with_GunterKlein"
5_Process.137,"{качает головой} Низко ты свою жизнь ценишь, духан! Условия оставляю неизменными. <attention>"
5_Process,"{Волк довольно ухмыляется} Ну что, колобок? От бабушки ушёл, от дедушки ушёл - думаешь, и от волка скрыться удалось? Нет, глупенький. Так, как ты, побеги не устраивают. Половину промзоны разнёс, семь человек после тебя под шумок скрылось - молодец, было смешно! Не мне, правда. Но зачем ты с пленным арийским шпионом в сговор вступил, да ещё так бездарно - это моему разумению не поддаётся. Карцер - это же место, которое на нашем заводе прослушивается каждую секунду, когда внутри хоть кто-то есть! А уж если там находятся двое - сам понимаешь! В общем, затупил ты конкретно, @hero. А тупые на этой планете - извини, не выживают. Угробить тебя считаю делом чести. Кроме того, если от тебя не отделаться прямо сейчас, есть уверенность, что хлопот ты нам ещё доставишь выше крыши. Так что твори молитву, и приступим. {жизнерадостно ржёт} <smile5>"
2_Process.17,"Ладно, ладно. Что делать-то будем?"
7a_Process.5,"Ни в коем случае! Я сам справлюсь. Как и всегда. {выход}"
7_Preparation,"Волк дал мне задание - расследовать факты побега людей с промзоны. Рекомендует проверить паровоз, курсирующий между промзоной, где я нахожусь, и городом @northtown."
7_Process.11,"Я с тобой обязан ещё одной проблемой поделиться. Тебе как раз по должности ею заниматься положено. {выдерживает паузу} Бегут с нашей промзоны, @hero. За последнее время смылись уже двое. С оружейного завода, понятно, никто уйти не может - он как сейф со всех сторон заперт. А вот на патронном - другое дело. Никаких заборов, никаких стенок, да ещё и железная дорога под боком. В общем, ситуация критическая. А ты ведь с недавних пор тоже к нашему делу причастен - стало быть, если кто-то опять смоется, тоже по шапке получишь. \n\nТребуется выяснить, через какую прореху они лезут. Может, на паровозе как-то отбывать ухитряются? Ни малейшего понятия. Он, паровоз, охраняется верным человеком, вроде не должно такого быть... В общем, надо разнюхать. Займись. Кроме тебя некому. Только одно условие запомни крепко - забираться на паровоз ни в коем случае нельзя. Машина дорогая, сложная, и ещё на ней особое заклятье лежит. Поэтому доступ к паровозу есть только у людей, которые непосредственно за него отвечают. Если пытается залезть кто-то ещё - значит, либо диверсант, либо удрать решил. Так что охране на этот случай дана чёткая команда - стрелять на поражение. Имей в виду."
5_Process.138,"{ухмыляется} За что ты мне нравишься, @hero - так это за наглость. Давай бабло и уматывай. <smile5>"
4b_Process,"{Волк поднимает глаза от бумаг} @hero! Я же вроде не отменял приказ."
4_Preparation,"Волк назначил меня на должность внешнего охранника. Дал команду обойти всю промзону за пределами оружейного завода."
3_Process.13,"{Глаза Волка действительно становятся как у зверя} С отказниками у нас тут просто - получишь пулю в башку рядом с Джимом, да и всё. Парадом командую теперь я, и брожений в наших стройных рядах не потерплю. <disgust1>"
2_Process.18,"Ты меня развести-то не пытайся. Сказал - не буду никого травить, значит, не буду."
1b_Process.5,"{выход}"
1_Process.61,"Исключено. Больше - ни монеты."
1_Process.4,"Это ты о чём? Я тебя охранять приставлен."
5_Sheet.206,"1"
5_Process.106,"Шесть."
1_Process.260,"Сто."
1_Process.5,"{Волк ухмыляется.} Да от тебя от самого схорониться бы, рожа ты расстрельная. Меня в детстве по голове не били - чай, соображаю, зачем и с какой целью ты мне в затылок дышишь. Это только Гувер всех вокруг себя считает полными идиотами.\n\nВ общем, так. Давай-ка мы с тобой договоримся по-хорошему. Я тебя не обижу, насчёт цены - уверен, что сойдёмся. Получится уж точно больше, чем у Гувера. Взамен, естественно, тоже придётся сделать кое-что. {подмигивает} С Гувером кое-что."
7a_Process,"{глядит чуть искоса} Ну что, @hero? Понял, где у нас брешь в охране, через которую рабочая сила утекает? Или мне ещё кого-нибудь смышлёного к этому делу привлечь?"
7_Process.13,"Всё понял."
7_Document,"Волк назначил меня на должность начальника охраны патронного завода. Бывший кабинет Пупыря - в моём распоряжении."
7_Process.46,"{козырнуть}"
7_Process.35,"Нет, пока работаю. Намётки есть!"
5_Sheet.190,"0"
4_Process,"{жмёт руку} Молодец. Я в тебя верил. А теперь, понятное дело, верю ещё сильнее. Стало быть, определим мы тебя во внешнюю охрану. Будешь охранять периметр промзоны, смотреть, чтобы никто не лез через забор ни внутрь, ни наружу. Поработаешь немного - поглядим, что тебе ещё доверить можно. Только бдительность не теряй и не пытайся убежать - для тех, кто считает себя шибко умным, наказание у меня всегда только одно. Держи шмотки. {выдаёт чёрную робу, автомат \"Крыса\" и несколько патронов к нему} Для начала обойди всю промзону за пределами оружейного завода, ознакомься с ситуацией. <smile1>"
1b_Process,"{жарко шепчет} Не тормози, @hero! Ломись резче к Шубе, дело только за тобой! У нас всё готово."
1a_Process.2,"Пока нет."
1_Process.173,"{вернуть деньги}"
1_Process.151,"Не волнуйся. Устроим ЧП на предприятии - Гувер выскочит, как пробка из бутылки, хе-хе. Это не твоя забота. Твоё дело - потом ситуацией воспользоваться. А именно - пробраться в кабинет, вскрыть замок на тумбочке, откупорить водку, кинуть туда приправу, ликвидировать следы присутствия, и рвать когти. Ну а в том, что Гувер после случившегося решит мальца тяпнуть - можно не терзаться сомнениями."
1_Process.140,"Да я уже давно слушаю."
1_Process.74,"{мрачно} Подавись."
1_Process.41,"{мнётся} Согласен. Держи. {выдаёт деньги}"
0_Sheet.33,"0"
8_Process.306,"{мрачно} Слышь, не маячь у меня в кабинете. Отвали. Дел по горло."
7_Process.47,"Может, я бы и согласился, но после такой заявы - никогда! Идите вы все на ###, [censored], [censored]!!!"
5_Process.119,"Семь."
5_Process.61,"{кинуть Волку сто монет}"
3_Process.16,"Утомишься пыль глотать, волчара."
1_Process.251,"Двести."
1_Process.42,"Говори, что делать надо."
7_Process.37,"Я к кабинетной работе не приучен, скучно. Давай, кто-нибудь другой этим займётся. <attention>"
5_Process.191,"{ржёт} Дёшево ты хочешь отделаться, @hero. Да мне один ремонт ворот дороже вышел. <smile4>"
4a_Process,"{Волк поднимает глаза от бумаг} А, @hero! Вижу, ты уже готов нести дозор."
4_Sheet.10,"execution_jim"
4_Document,"Необходимо подумать - как можно использовать сложившуюся ситуацию для побега."
3_Process.28,"Держи ствол. {выдаёт массивный грубо обработанный пистолет сугубо кустарного облика}"
1_Process.252,"Назови цену."
1_Process.8,"Я ж тебе говорю - у меня есть задание, и я обязан его исполнить."
8_Process,"{Перед тобой - высокий худой шатен с мрачным взглядом, в чёрной робе и штанах.} Салют. Гляжу, уже ухитрился из литейки выбраться. Бросил, стало быть, Козлика на произвол судьбы. Бодрый парень. У меня к тебе дел никаких нет. Иди, с Гувером общайся."
6_Sheet.29,"dialog 4b"
5_Sheet.193,"1"
5_Process.192,"{машет рукой} ### с тобой, уматывай за пять. <attention>"
4_Process.13,"Как-то всё очень внезапно. Хочу немножко подумать над таким серьёзным предложением."
3_Process.29,"{взять пистолет}"
3_Process,"{жмёт руку} Виновного мы взамест тебя уже назначили. Мало того, что назначили - уже и приговорили. Сейчас пойдёшь, стрельнёшь по-быстрому, чтобы слухи не ползли."
1_Process.143,"Гувер у нас любит потреблять специальную водку. Он её называет \"Промзоновская особая\". Алкоголь лично для него гонят на ТЭЦ по особой технологии, высококачественный. В бутылку непременно кладут спецчервяка - для вкуса. Бутылка хранится в запертой тумбочке у Гувера в кабинете. Задача - проникнуть в кабинет во время отсутствия пациента и добавить в алкоголь ядку. Понимаешь?"
1_Process.110,"Ещё стольничек? Жадный ты, @hero. Держи."
1_Process.9,"{Волк морщится} Ну вот чё ты пестришь, земляк? Какое задание, какое обязан? Мы же не в детском саду. Давай говорить как разумные люди. "
7_Sheet.36,"Волк нападает на Кабана"
7_Process.39,"{темнеет лицом} За неповиновение и пререкания с начальством у нас с сегодняшнего дня положена смерть на месте, без ненужных проволочек. Дисциплина и порядок достигаются только так. Внимательно слушаю - готов ли ты выполнять своё новое задание. <attention>"
5_Process.171,"Четыре."
5_Process.160,"{отсчитать нужную сумму, кинуть Волку мешок с деньгами}"
5_Process.64,"{снова ржёт} Ты меня, кажется, пугать  стараешься, @hero!!! А получается только смешить. Всё, мужики, валим урода. <smile2>"
5_Process.42,"Слышь, Волк. Ты этот проход купил? Не верится. В общем, слушай. Я сейчас пройду, а ты сосчитаешь до ста и потом тоже уведёшь своих людей. Или пеняй на себя. Всё понятно? <attention>"
3_Process.19,"Готов выполнять."
3_Process.4,"А кто это? <attention>"
2_Preparation,"Отравить Гувера."
1a_Process,"Ну что, задумчивость? Определился с деньгами-то?"
1_Process.155,"Мне этот урод Гувер тоже решительно не нравится. Свинтить его буду только рад."
1_Document,"Волк, заместитель Гувера по охранной деятельности, за которым Гувер поручил мне наблюдать, хочет выдать мне встречное задание. Состоит оно, как ни странно, в том, чтобы убрать Гувера. Волку очень не нравится пристрастие Гувера к бумажной волоките и отсутствие приверженности соблюдению законов уголовного мира. Волк даже утверждает, что Гувер применяет по отношению к нему жёсткие меры, пытаясь заставить его подчиняться своим канцелярским порядкам. \n\nПоэтому Волк считает, что я должен в условленный момент пробраться в кабинет Гувера и отравить его водку, хранящуюся в запертой тумбочке."
1_Process.144,"Он же там практически живёт, в кабинете этом! Как туда попасть-то?"
1_Process.45,"Накинь ещё стольничек."
1_Process.34,"Пятьсот."
1_Process.12,"Поговори с Гувером на эту тему."
5_Process.150,"Не смеши, @hero! Я и так самую божескую цену назначил - по старой памяти, как бывшему коллеге. Давай без гнилых выкрутасов, не на базаре."
5_Process.32,"Слышь, Волк, а у нас с тобой ведь есть общая тайна. Не помнишь? Могу напомнить. Многим здесь будет крайне интересно, я так думаю. Так что ты уж подумай хорошо - есть ли резон ссориться. <smile2>"
4_Process.15,"Не затягивай."
3_Process.5,"{делает умное лицо} Наше расследование показало, что отравил Гувера человек, который готовил ему водку. Работал он котловым на ТЭЦ, зовут его Джим. Почти сразу во всём признался, хе-хе. Очень честный, очень. Сейчас подтянется наш знатный исполнитель наказаний Сыч - бери его и приступай к делу. Отведёшь пацанёнка, приговор реализуешь - и возвращайся."
2_Process.30,"Понятно, что заниматься такими вещами я не хочу."
1_Process.167,"Денежки сдай-ка на хранение, пока думать будешь."
1_Process.123,"Смешно. Да за такие деньги тебя убить проще."
1_Process.13,"{Волк смотрит на тебя тяжёлым взглядом} Мы придём к согласию, или как?"
8_Process.14,"{выход}"
7_Process.19,"Готов."
6_Process.6,"{обхватывает голову руками, упирается локтями в стол} Этот урод Гувер, блин... Короче, надо было его выпинать отсюда уже двести раз. Оставил мне авгиевы конюшни, адские развалы своей гнилой бюрократии. Свихнусь как пить дать. @hero! Пока я это всё не разгребу, мне отсюда не выбраться. Не в падлу, сходи и наваляй им там всем люлей от моего имени - чтобы знали, что воровство с этого дня будет наказываться строжайшим образом. Естественно, разобраться нужно как следует. После чего наказать кого попало, хе-хе. Шучу. В общем, подойди с умом, я на тебя рассчитываю. По результатам представь доклад. Я уже начал ждать."
5_Process.173,"Всего четыре тысячи удалось на паперти насобирать? И ради этого бежать стоило? Короче - гляжу, не уважаешь ты меня, @hero. <smile5>"
5_Process.151,"Да ты, @hero, не только боец, а ещё и торгаш способный! Далеко пойдёшь. Если, конечно, меня больше злить не будешь. Бабки гони - и чтобы я тебя не видел."
5_Process.55,"{выход}"
5_Process.11,"Интересно, почему это ты, Волк, в одной связке с арийской разведкой работаешь. Ты сам-то не засланный на промзоне, случаем? <smile5>"
3_Sheet.2,"Poison_guver"
1_Process.157,"Что-то бабок негусто. Надо подумать."
1_Process.234,"Ты же лопнешь, деточка. Мал ещё - такие деньги на кармане носить."
1_Process.168,"Вот уж на фиг."
1_Process.135,"{качает головой отрицательно}"
1_Sheet.23,"Волк нападает на Кабана"
