STRID,TEXT
0_p_panic_3_help_q,"Ты даже за себя постоять не можешь, убогий! По-любому есть негодяй, который тебя чморит. Могу побыть карающей дланью возмездия в обмен на информацию. <contempt>"
0_p_panic_3_help_a,"{завидев в тебе защитника, немного успокаивается} Ты очень проницательный! Есть один хулиган, Пиявкой кличут. Подходящее имечко, а то присосался он так, что не отодрать! То одежду сопрёт, то инструмент испортит, то - не дай Бог - макнёт в... неприятную субстанцию! {сильно морщится, вспоминая злодеяние}. Словом, спасу от него нет! Ты поговори с ним, скажи ему, чтобы отстал, ладно?"
0_p_panic_4_where_q,"{отпрыгнуть назад, дабы не законтачиться} Макнул, говоришь??? Да он после такого к тебе и не полезет! Впрочем, оставь его координаты, проведу воспитательную беседу."
0_p_panic_4_where_a,"{сияет, аки солнце в ясный день} Отлично, дядь, отлично! Ищи группу охранников за складом, они обычно там ошиваются. И это, спасибо тебе огроменное, заранее! Ты даже не представляешь, какой это груз с плеч. {вздыхает с облегчением} <smile2>"
0_p_panic_5_bully_e,"Этот Пиявка охранник, получается? Интересный поворот. {выход}"
3____________________,"3____________________"
0_p_quest_0_hi_a,"{увидев тебя, озаряется улыбкой} Здравствуй, мой чемпион! Надеюсь, справедливость восторжествовала? <smile2>"
0_p_quest_1_status_q_done_mercy,"Отцепил я пиявку. Теперь давай ближе к делу."
0_p_quest_1_status_q_done_kill,"Отцепил я пиявку, больше ни к кому не прицепится. Теперь давай ближе к делу."
0_p_quest_1_status_e_notyet,"Ещё до него не сходил, терпи угнетения пока. {выход}"
4____________________,"4____________________"
0_p_trust_0_know_a,"{тщательно подбирает слова} Ну это, в общем... знаю я Лёву, у нас с ним вроде как договор."
0_p_trust_1_burn_q,"Дай угадаю - если про этот договор пронюхает охрана, то ты окажешься в литейке в роли топлива? <attention>"
0_p_trust_1_burn_a,"{озирается} Давай тише только, вдруг услышат! Ох, и влетит нам тогда... А насчёт охраны... ну, понимаешь, очень они не любят, когда люди без спроса уезжают! {недоумевая} Почему нельзя просто отпустить всех, кто хочет уйти, а оставшимся платить зарплату?"
5____________________,"5____________________"
0_p_trust_ask_1_others_q,"Кулибин и Брус - знаешь таких?"
0_p_trust_ask_1_others_a,"Так знаю, конечно! Знал, точнее... не с нами они больше, понимаешь. Кулибин на паровозе сбежал, а вот Брус... {смахивает слезинку} нажрался он в компании и заявил, что \"скоро сдристнет из этого гадюшника\". На следующее утро Бруса и след простыл, нашли только его одёжку у сортира. Откуда она там взялась? Куда он делся?.. Остаётся надеяться, что сбежал-таки в целости и сохранности. Туда ещё лично Гувер приходил, был красный, как рак, и сильно на всех ругался, вот!"
0_p_trust_ask_1_why_q,"Почему вдруг решил бежать?"
0_p_trust_ask_1_why_a,"{причитает} Устал я работать, не могу больше! А заставляют. То пойди туда, то принеси это, то за станок встань, то очко надрай. Задолбался я! На Империю никогда так не пахал, а на этих гадов и подавно не хочу! Когда окажусь на воле, буду питаться подножным кормом и строить домик на дереве, я уже всё продумал!!!"
0_p_trust_ask_1_how_q,"Что из себя представляет способ побега?"
0_p_trust_ask_1_how_a,"Да я сам не в курсе деталей. Главное, что способ и рабочий, и проверенный! Всё, что знаю - нужно заплатить Лёве тыщу монет, а за несколько часов до следующего рейса встретиться с ним в условленном месте, чтобы он провёз тебя за ворота."
0_p_trust_ask_1_crime_q,"А как тебя занесло на Матросскую Тишину?"
0_p_trust_ask_1_crime_a,"Смейся, но за честную службу и занесло! Я был имперским чиновником, и мне удалось поймать начальника на воровстве из бюджета. Постепенно собрал солидные доказательства, вот только зря старался - этот влиятельный гадёныш успел извернуть ситуацию так, что виноватым оказался уже я, а он, значит, белый и пушистый. В итоге всё свелось к его слову против моего, и что ты думаешь, дядь? Выяснилось, что несмотря на отданные Империи годы, грошь цена моему слову, вот. Я не отброс общества, вроде других арестантов. Я порядочный и умный человек, и всё, что со мной происходит - тотальная, вселенская несправедливость!!! Но ты пойми, я не мог поступить иначе. <rage2>"
0_p_trust_ask_1_decide_e,"Это всё, что я хотел узнать. Пока не отсвечивай, прикину, что делать. {выход}"
6____________________,"6____________________"
0_p_ambient_0_hiding_a,"{вылезает из-за груды ящиков} Я... я не отсвечиваю, всё как ты приказал, дядь! <surprise>"
0_p_ambient_1_good_e,"Молодец, продолжай в том же духе. {выход}"
7____________________,"7____________________"
