STRID,LOC,STR,AGI,CON,INT,CHA,PER,AGE,SEX,HGT,LEV,PARTY,TAG1,TAG2,TRAIT1,TRAIT2,HP,SP,AC,SMG,BIGG,NRG,THROW,MELEE,SCOUT,REP,MED,THIEF,BAR,TAG1,TAG2,MONEY,ITEMS,HAND,MODEL,RACE,TATOO,HEAD,HEAD_SPECIAL,HEAD_OVERWRITE,CANT_LOOT,NAME1,NAME2
train_showdown_wave02_worker04,prodzone_farm_mine,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_LIGHT_BODYARMOR.R,CAMOUFLAGE_SHIRT.R,ROBE_TROUSERS.R,BOOTS_COLONIST.R,MEAT,POTATOES,GANJA,VODKA,AMMO_6MM:20,HATCHET",PISTOL_STUPID,man,black1,,blackslave,,,1,,Мятежный рабочий
train_showdown_wave02_guard01,prodzone_farm_mine,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.R,TRAIN_FAKE_STUDDED_LEATHER_JACKET.R,KHAKI_SHIRT.R,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,CARROT,FAST_DIVING,CIGARETTE,AMMO_6MM:20,HATCHET",RIFLE_PIPE,man,white1,,whiteslave5,,,1,,Мятежный охранник
train_showdown_wave02_guard02,prodzone_farm_mine,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.G,ROBE_BLACK.G,TRAIN_FAKE_IRON_CHAINMAIL.R,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,BREAD,WOOL_CORN,TOADSTOOL,MEDIKIT_1,AMMO_6MM:20,HATCHET,SMG_RAT_PROMZONE_GUARD",POISON_GRENADE,man,white1,,whiteslave,,,1,,Мятежный охранник
train_showdown_wave02_guard03,prodzone_farm_mine,8,8,8,8,30,8,8,,185,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,MEAT,WOOL_CORN,CARROT,CIGARETTE,WILDGANJA",HATCHET,man,white1,,whiteslave3,,,1,,Мятежный охранник
train_showdown_wave02_guard04,prodzone_farm_mine,8,8,9,8,30,8,8,,190,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.R,TRAIN_FAKE_CUIRASS.R,TRAIN_FAKE_IRON_CHAINMAIL.R,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.R,BOOTS_LANDROVER.R,MEAT,POTATOES,BREAD,CIGARETTE,KVAS,MEDIKIT_1,AMMO_6MM:20,HATCHET",RIFLE_KNACKER,man,arab1,,arab4,,,1,,Мятежный охранник
train_showdown_wave02_guard05,prodzone_farm_mine,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.R,TRAIN_FAKE_IRON_CHAINMAIL.R,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.R,BOOTS_LANDROVER.R,BREAD,CARROT,CIGARETTE,VODKA,AMMO_12GA:20,HATCHET",SHOTGUN_BEST_FRIEND,man,white1,,whiteslave6,,,1,,Мятежный охранник
train_showdown_wave02_guard06,prodzone_farm_mine,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.G,BOOTS_LANDROVER.R,POTATOES,SPOTTEDBLEVANTON,GANJA,VODKA,AMMO_6MM:20,HATCHET,SMG_RAT_PROMZONE_GUARD",POISON_GRENADE,man,white2,,whiteslave7,,,1,,Мятежный охранник
train_showdown_wave03_worker01,prodzone_farm_mine,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"BASEBALL_CAP.G,TRAIN_FAKE_STUDDED_LEATHER_JACKET.R,CAMOUFLAGE_SHIRT.R,ROBE_TROUSERS.R,BOOTS_COLONIST.R,WOOL_CORN,FAST_DIVING,GANJA,VODKA,AMMO_12GA:20,HATCHET",REVOLVER_BUTCHER,man,white1,,whiteslave3,,,1,,Мятежный рабочий
train_showdown_wave03_worker02,prodzone_farm_mine,8,8,8,8,30,8,8,,185,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.R,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.R,BOOTS_COLONIST.R,MEAT,BREAD,POTATOES,WILDGANJA",HATCHET,man,white1,,whiteslave,,,1,,Мятежный рабочий
train_showdown_wave03_worker03,prodzone_farm_mine,8,8,6,8,30,8,8,,165,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.G,ROBE.G,TRAIN_FAKE_IRON_CHAINMAIL.R,ROBE_TROUSERS.R,BOOTS_COLONIST.R,POTATOES,BREAD,CARROT,BLEVANTON,KVAS,AMMO_6MM:20,HATCHET",PISTOL_STUPID,man,black2,,blackslave4,,,1,,Мятежный рабочий
train_showdown_wave03_guard01,prodzone_farm_mine,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"BANDANA.R,TRAIN_FAKE_STUDDED_LEATHER_JACKET.R,KHAKI_SHIRT.R,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.R,BOOTS_LANDROVER.R,WOOL_CORN,BREAD,CARROT,FAST_DIVING,GANJA,AMMO_6MM:20,HATCHET",RIFLE_PIPE,man,white2,,whiteslave4,,,1,,Мятежный охранник
train_showdown_wave03_guard02,prodzone_farm_mine,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.R,TRAIN_FAKE_LIGHT_BODYARMOR.R,TRAIN_FAKE_IRON_CHAINMAIL.R,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,MEAT,CARROT,TOADSTOOLBLUE,FAST_DIVING,MEDIKIT_1,AMMO_6MM:20,HATCHET",SMG_RAT_PROMZONE_GUARD,man,white1,,whiteslave2,,,1,,Мятежный охранник
train_showdown_wave03_guard03,prodzone_farm_mine,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.G,BOOTS_LANDROVER.R,BREAD,POTATOES,BLEVANTON,SPOTTEDBLEVANTON,KVAS,AMMO_12GA:20,HATCHET",SHOTGUN_CHUCHUNDRA,man,white1,,whiteslave5,,,1,,Мятежный охранник
train_showdown_wave03_guard04,prodzone_farm_mine,8,8,9,8,30,8,8,,190,10,,,,,,,,,20,20,,20,90,,,,200,,,,,"TRAIN_FAKE_CUIRASS.R,TRAIN_FAKE_IRON_CHAINMAIL.R,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,MEAT,BREAD,POTATOES,TOADSTOOL,VODKA,MEDIKIT_2",KATANA_CHINEZE,man,yellow1,,yellowslave4,,,1,,Мятежный охранник
train_showdown_wave03_guard05,prodzone_farm_mine,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.G,TRAIN_FAKE_IRON_CHAINMAIL.R,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,CARROT,POTATOES,CIGARETTE,KVAS,MEDIKIT_1,AMMO_6MM:20,HATCHET,SMG_RAT_PROMZONE_GUARD",POISON_GRENADE,man,white1,,whiteslave8,,,1,,Мятежный охранник
train_showdown_wave03_guard06,prodzone_farm_mine,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_STUDDED_LEATHER_JACKET.G,CAMOUFLAGE_SHIRT.G,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.G,BOOTS_LANDROVER.R,MEAT,BREAD,WOOL_CORN,FAST_DIVING,VODKA,AMMO_6MM:20,HATCHET,SMG_RAT_PROMZONE_GUARD",POISON_GRENADE,man,white1,,whiteslave3,,,1,,Мятежный охранник
train_showdown_wave03_leva,prodzone_farm_mine,8,8,10,8,30,8,8,,210,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_CUIRASS.R,IRON_CHAINMAIL.R,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.R,BOOTS_FOOTMAN.R,GANJA,MEDIKIT_2,AMMO_6MM:20,HATCHET",RIFLE_KNACKER,man,white1,,leva,,,1,,Лёва
train_showdown_wave03_yoke,prodzone_farm_mine,8,8,9,8,30,8,8,,190,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.G,ROBE_BLACK.G,ROBE_TROUSERS.G,BOOTS_FOOTMAN.R,BREAD,POTATOES,CARROT,KVAS,AMMO_6MM:20,HATCHET",SMG_RAT_PROMZONE_GUARD,man,white1,,yoke,,,1,,Хомут
AbuBakar,norcity_mar_car,5,5,7,5,8,5,5,M,155,1,,,,,,6,,,,,0,,,,0,0,16,0,,,0,"ROLL_NECK.G,ROBE_TROUSERS.G,BOOTS_COLONIST.R",,man,arab1,,,,,,Abu-Bakar,Абу-Бакар
Academic,academ_academ,5,5,4,5,7,5,5,M,155,1,,,,,,3,,,,,10,22,12,10,10,0,16,0,,,0,"RAGS_JACKET.B,RAGS_TROUSERS.R",,hback,white2,,,,,,Academic,Академик
agronom,norcity_rubbish,6,5,6,6,8,6,5,M,175,5,,,,,,25,,,17,17,0,30,20,0,0,0,24,0,,,0,"RAGS_JACKET.R,BREAD,MEAT,TOADSTOOL,GONDURAS_TROUSERS",HATCHET,man,white1,CAT,whiteslave,,,,agronom,Агроном
ahmad,norcity_mar_car,5,5,6,5,12,5,5,M,160,1,,,,,,5,,,,,0,,,,0,0,16,0,,,0,"PANAMA.G,STUDDED_LEATHER_JACKET.R,CAMOUFLAGE_TROUSERS.R,BOOTS_FOOTMAN.R",,man,white1,CAT,whiteslave,,,,ahmad,Ахмад
Akibombo,norcity_blnorth,6,5,7,6,30,6,5,M,165,10,,,,,,50,,,25,25,0,40,30,12,0,0,200,0,,,0,"KINDZADZA.R,RAGS_JACKET.G,RAGS_TROUSERS.G",,man,Black1,,,,,,Akibombo,Акибомбо
AlbertGunner,aryantown_aryancent,5,5,5,5,12,5,5,,,1,,,,,,4,,,,,0,,,,0,0,16,0,,,0,"ARYAN_UNIFORM_CAP.R,OFFICER_JACKET.R,OFFICER_BREECHES.R,BOOTS_HIGH.G,AMMO_9MM:16,PISTOL_MAD_BULL",,man,,,whiteslave,,whiteslave,,Albert Gunner,Альберт Гуннер
Alice,norcity_whitecenter,5,5,5,5,5,5,5,F,180,1,,,,,,4,,,0,0,0,10,0,30,0,0,16,0,,,0,,,woman,white1,,,,,,Alice,Алиса
Alyonaurolog,norcity_sod_nor,6,5,6,6,30,6,5,M,170,10,,,,,,50,,,25,25,0,40,30,12,0,0,200,0,,,0,TOPIC.G,,woman,White1,,,,,,Alyonaurolog,Алёна Уролог
Andre,settlem_settlem,5,5,5,5,14,5,5,,,1,,,,,,4,,,,,0,,,,0,0,16,0,,,0,"BASEBALL_CAP.R,CAMOUFLAGE_TROUSERS.G,BOOTS_LANDROVER.R,AMMO_9MM:100,SMG_WOODPECKER",,man,white1,,,,,,Andre,Андрэ
anjamagical,norcity_whharbor,6,5,6,6,5,6,5,M,175,5,,,,,,25,,,17,17,0,30,20,0,0,0,24,0,,,0,,,woman,white1,,whitewoman1,,whitewoman1,,anjamagical,Аня Волшебная
Apumba,norcity_bldance,6,5,7,6,30,6,5,M,180,10,,,,,,50,,,25,25,0,40,30,12,0,0,200,0,,,0,"EURO.G,ROLL_NECK.B,RAPPER_TROUSERS.B,BOOTS_FOOTMAN.R",,man,Black1,,,,,,Apumba,Апумба
Arbi,cannibals_can_vill,5,5,5,5,14,5,5,,,1,,,,,,4,,,,,0,,,,0,0,16,0,,,0,"CAMOUFLAGE_TROUSERS.G,BOOTS_LANDROVER.R,AMMO_9MM:100,SMG_WOODPECKER",,man,white1,FIGHTER,,,,,Arbi,Арби
Arbi_man1,cannibals_can_vill,5,5,5,5,16,5,5,,190,35,,,,,,140,,,,,0,,,,0,0,78,0,,,0,"CAMOUFLAGE_TROUSERS.R,BOOTS_LANDROVER.R,AMMO_6MM:160,BIG_HAND_GRENADE,BIG_HAND_GRENADE,BIG_HAND_GRENADE",smg_rat,man,White2,FIGHTER,,,,,Arbi man,Человек Арби
Arbi_man2,cannibals_can_vill,5,5,5,5,14,5,5,,170,35,,,,,,140,,,,,0,,,,0,0,78,0,,,0,"CAMOUFLAGE_TROUSERS.R,BOOTS_LANDROVER.R,AMMO_6MM:60,AMMO_9MM:160,MOLOTOV_GRENADE",smg_rat,man,White1,FIGHTER,,,,,Arbi man,Человек Арби
arian_a_broom01,arian,5,6,6,7,14,6,5,M,175,45,,,,,,225,,,100,100,0,101,91,32,0,200,50,0,,,0,"ARYAN_UNIFORM_CAP.R,SOLDIER_JACKET.R,SOLDIER_BREECHES.R,BOOTS_HIGH.G,AMMO_9MM:10,PISTOL_GUARD,HANDMADE_12MM,TOADSTOOLBLUE,CARROT,PB,ANTIDOT_MOMENT,WILDGANJA,ANTIDOT_PIG,POISON_PIG,POISON_PIG,WILDGANJA,WILDGANJA,DOG_FUR,VODKA",BROOM,man,White1,,WhiteSlave8,,,,Arian soulder,Арийский солдат
arian_a_broom02,arian,5,6,5,7,16,6,5,M,180,45,,,,,,225,,,100,100,0,101,91,32,0,200,73,0,,,0,"SOLDIER_JACKET.R,SOLDIER_BREECHES.R,BOOTS_HIGH.G,AMMO_9MM:12,PISTOL_GUARD,HANDMADE_12MM,POTATOES,DOG_FUR,GANJA,GANJA,DOG_FUR,HANDMADE_GRENADE,ROSE_KNIFE,ANTIDOT_PIG,MEDIKIT_1,BLEVANTON,DOG_FUR,RAT_FUR,FAST_DIVING,WILDGANJA,RAT_FUR",BROOM,man,White1,,WhiteSlave2,,,,Arian soulder,Арийский солдат
arian_a_broom03,arian,5,6,6,7,15,6,5,M,170,45,,,,,,225,,,100,100,0,101,91,32,0,200,50,0,,,0,"SOLDIER_BREECHES.R,BOOTS_HIGH.G,AMMO_9MM:14,PISTOL_GUARD,CARROT,ANTIDOT_PIG,HANDMADE_12MM,SPIKED_KNUCKLES,BREAD,ANTIDOT_MOMENT,WILDGANJA,DOG_FUR,TOADSTOOL,BREAD,POISON_MOMENT,CARROT,CIGARETTE,BREAD,BREAD,CARROT,SUIRIKEN,POISON_PIG",BROOM,man,White1,,WhiteSlave9,,,,Arian soulder,Арийский солдат
arian_a_broom04,arian,5,6,5,7,14,6,5,M,170,45,,,,,,225,,,100,100,0,101,91,32,0,200,76,0,,,0,"SOLDIER_BREECHES.R,BOOTS_HIGH.G,AMMO_9MM:16,PISTOL_GUARD,BREAD,MUSHROOM,WILDGANJA,HANDMADE_12MM,DOG_FUR,POTATOES,DOG_FUR,WILDGANJA,DOG_FUR,DODGER,SPOTTEDBLEVANTON,DOG_FUR,STONE_KNIFE,TOADSTOOLBLUE,BREAD,WILDGANJA,KVAS,POTATOES",BROOM,man,White2,,WhiteSlave4,,,,Arian soulder,Арийский солдат
arian_a_broom05,arian,5,6,7,7,16,6,5,M,175,45,,,,,,225,,,100,100,0,101,91,32,0,200,76,0,,,0,"SOLDIER_JACKET.R,SOLDIER_BREECHES.R,BOOTS_HIGH.G,AMMO_9MM:18,PISTOL_GUARD,GANJA,BREAD,CIGARETTE,POISON_MOMENT,DOG_FUR,GANJA,HANDMADE_12_DOUBLE,BRUISE,WILDGANJA,SPOTTEDBLEVANTON,CARROT,DODGER,ANTIDOT_MOMENT,MEAT,POISON_MOMENT",BROOM,man,White2,,WhiteSlave4,,,,Arian soulder,Арийский солдат
arian_a_broom06,arian,5,6,6,7,18,6,5,M,165,45,,,,,,225,,,100,100,0,101,91,32,0,200,96,0,,,0,"ARYAN_CAP.R,SOLDIER_JACKET.R,SOLDIER_BREECHES.R,BOOTS_HIGH.G,AMMO_9MM:20,PISTOL_GUARD,POTATOES,VODKA",BROOM,man,White1,,WhiteSlave3,,,,Arian soulder,Арийский солдат
arian_a_officer01,arian,5,6,5,7,23,6,5,M,165,55,,,,,,275,,,160,160,0,159,149,37,0,400,92,0,,,0,"ARYAN_UNIFORM_CAP.G,OFFICER_JACKET.G,OFFICER_BREECHES.R,BOOTS_HIGH.B,AMMO_9MM:10,SMG_SQUALL,KVAS,BIG_HAND_GRENADE,ACCELERATOR",,man,White2,,WhiteSlave4,,,,Arian officer,Арийский Офицер
arian_a_officer02,arian,5,6,6,7,23,6,5,M,175,55,,,,,,275,,,160,160,0,159,149,37,0,400,92,0,,,0,"ARYAN_UNIFORM_CAP.G,OFFICER_JACKET.G,OFFICER_BREECHES.R,BOOTS_HIGH.B,AMMO_9MM_AP:12,SMG_SQUALL,MOLOTOV_GRENADE,BIG_HAND_GRENADE",,man,White1,,WhiteSlave5,,,,Arian officer,Арийский Офицер
